gene,¦Â2AR-APEX2(BI167107),DOR-APEX2,CCDC68,CCDC120,LiMoCentrosome,Endosomal-APEX2,AT1R-APEX2(AngII),AT1R-APEX2(TRV027)
O14950,1,0,0,1,1,0,0,1
O14964,1,1,1,1,1,1,1,1
O14965,1,1,1,1,0,1,0,1
O14966,1,0,0,1,0,0,0,0
O14967,1,0,0,0,0,0,0,0
O14972,1,0,0,0,0,0,0,0
O14974,1,1,1,1,0,1,1,1
O14975,1,0,0,1,0,0,0,0
O14976,1,0,1,0,0,0,0,1
O14979,1,1,1,1,1,0,1,1
O14980,1,1,1,1,1,1,0,1
O14981,0,0,1,0,0,0,0,0
O15013,1,0,0,0,0,0,0,0
O15014,0,0,0,1,0,0,0,0
O15020,1,1,0,1,0,1,1,1
O15021,1,0,0,0,0,0,0,0
O15027,0,1,1,1,1,1,0,1
O15031,1,1,0,1,0,1,0,1
O15037,1,0,0,0,0,0,0,0
O15042,0,1,0,1,0,1,1,1
O15049,0,0,0,1,0,0,0,0
O15061,0,0,0,1,0,0,0,0
O15063,1,0,0,0,0,0,0,0
O15067,1,1,1,0,1,1,1,1
O15084,1,1,0,1,0,1,0,0
O15085,1,0,0,1,0,0,0,0
O15111,1,1,0,0,0,1,0,0
O15116,1,0,0,1,0,0,0,0
O15118,1,1,0,1,0,1,0,0
O15120,0,0,0,1,0,0,0,0
O15121,0,0,0,0,1,0,0,0
O15126,1,1,1,0,1,1,0,1
O15127,1,0,0,0,0,0,0,1
O15143,0,0,0,1,1,0,0,0
O15144,1,1,1,1,1,1,0,0
O15145,1,1,0,1,1,1,1,1
O15155,1,0,0,0,1,0,0,1
O15160,1,0,1,1,0,0,0,0
O15162,1,1,1,0,0,1,0,1
O15164,0,0,1,0,0,0,0,0
O15173,1,0,0,1,1,0,1,1
O15198,1,0,0,0,0,0,0,0
O15212,1,0,0,0,0,0,0,0
O15213,0,0,0,1,0,0,0,1
O15226,1,1,1,1,1,1,0,1
O15230,1,0,0,1,0,0,0,0
O15234,1,0,0,1,1,0,0,1
O15235,0,0,0,0,0,0,1,1
O15258,0,1,0,1,0,0,0,0
O15260,1,1,0,1,1,1,0,1
O15269,1,1,1,1,1,1,0,0
O15270,1,1,0,0,1,1,0,1
O15287,0,1,1,0,0,1,0,0
O15294,1,1,1,1,1,1,0,0
O15305,1,1,1,0,0,1,0,0
O15320,1,1,0,0,0,1,0,0
O15321,0,0,0,0,1,0,0,0
O15344,0,0,1,0,0,0,0,0
O15347,1,0,0,1,1,0,0,0
O15355,1,1,1,1,1,1,0,0
O15357,1,1,0,1,0,1,0,0
O15371,1,1,1,1,1,1,0,1
O15372,1,1,1,1,1,1,0,1
O15397,1,0,1,1,1,0,0,0
O15400,1,1,1,1,1,1,1,1
O15427,0,0,0,1,0,0,0,0
O15439,1,0,0,0,0,0,0,1
O15440,1,0,0,0,0,0,0,1
O15446,0,0,0,1,0,0,0,1
O15460,1,0,0,1,0,0,0,0
O15498,1,0,0,0,1,0,0,1
O15504,0,0,0,1,0,0,0,0
O15511,1,0,0,1,0,0,0,0
O15514,0,0,0,1,0,0,0,0
O15528,0,0,0,0,0,0,0,1
O15530,1,0,1,0,0,0,0,1
O15534,0,0,0,1,0,0,0,0
O15540,0,0,0,1,0,0,0,0
O15550,0,1,0,0,0,1,0,0
O43143,1,1,1,1,1,1,1,1
O43147,0,1,0,0,0,1,0,0
O43148,0,0,1,1,0,0,0,0
O43149,0,1,0,0,0,1,0,0
O43156,0,0,1,0,0,0,0,0
O43159,0,0,0,1,0,0,0,0
O43164,1,1,0,0,1,1,0,0
O43166,1,0,0,1,0,0,0,0
O43169,1,0,0,0,0,0,0,0
O43172,0,0,0,1,1,0,0,0
O43175,1,1,1,1,0,1,0,1
O43196,0,1,0,0,0,1,0,0
O43237,1,0,0,0,0,0,0,0
O43242,1,1,1,1,1,1,1,1
O43251,0,0,1,1,0,0,0,0
O43264,1,1,0,0,1,1,0,1
O43278,1,0,0,0,0,0,0,0
O43286,1,0,0,0,0,0,0,0
