gene,AT1R-APEX2(AngII),AT1R-APEX2(TRV027),β2AR-APEX2(BI167107),Endosomal-APEX2,DOR-APEX2,CCDC68,CCDC120
O14950,0,1,1,0,0,0,1
O14964,1,1,1,1,1,1,1
O14965,0,1,1,1,1,1,1
O14966,0,0,1,0,0,0,1
O14967,0,0,1,0,0,0,0
O14972,0,0,1,0,0,0,0
O14974,1,1,1,1,1,1,1
O14975,0,0,1,0,0,0,1
O14976,0,1,1,0,0,1,0
O14979,1,1,1,0,1,1,1
O14980,0,1,1,1,1,1,1
O14981,0,0,0,0,0,1,0
O15013,0,0,1,0,0,0,0
O15014,0,0,0,0,0,0,1
O15020,1,1,1,1,1,0,1
O15021,0,0,1,0,0,0,0
O15027,0,0,0,1,1,1,1
O15027-5,0,1,0,0,0,0,0
O15031,0,1,1,1,1,0,1
O15037,0,0,1,0,0,0,0
O15042,1,1,0,1,1,0,1
O15049,0,0,0,0,0,0,1
O15061,0,0,0,0,0,0,1
O15063,0,0,1,0,0,0,0
O15067,1,1,1,1,1,1,0
O15084,0,0,0,1,1,0,1
O15084-1,0,0,1,0,0,0,0
O15085,0,0,0,0,0,0,1
O15085-2,0,0,1,0,0,0,0
O15111,0,0,1,1,1,0,0
O15116,0,0,1,0,0,0,1
O15118,0,0,1,1,1,0,1
O15120,0,0,0,0,0,0,1
O15126,0,1,1,1,1,1,0
O15127,0,1,1,0,0,0,0
O15143,0,0,0,0,0,0,1
O15144,0,0,1,1,1,1,1
O15145,1,1,1,1,1,0,1
O15155,0,1,1,0,0,0,0
O15160,0,0,1,0,0,1,1
O15162,0,1,1,1,1,1,0
O15164,0,0,0,0,0,1,0
O15173,0,0,0,0,0,0,1
O15173-2,1,1,1,0,0,0,0
O15198,0,0,1,0,0,0,0
O15212,0,0,1,0,0,0,0
O15213,0,1,0,0,0,0,1
O15226,0,0,0,1,1,1,1
O15226-2,0,1,1,0,0,0,0
O15230,0,0,1,0,0,0,1
O15234,0,1,1,0,0,0,1
O15235,1,1,0,0,0,0,0
O15258,0,0,0,0,1,0,1
O15260,0,1,1,1,1,0,1
O15269,0,0,1,1,1,1,1
O15270,0,1,1,1,1,0,0
O15287,0,0,0,1,1,1,0
O15294,0,0,1,1,1,1,1
O15305,0,0,1,1,1,1,0
O15320,0,0,0,1,1,0,0
O15320-5,0,0,1,0,0,0,0
O15344,0,0,0,0,0,1,0
O15347,0,0,1,0,0,0,1
O15355,0,0,1,1,1,1,1
O15357,0,0,1,1,1,0,1
O15371,0,1,1,1,1,1,1
O15372,0,1,1,1,1,1,1
O15397,0,0,1,0,0,1,1
O15400,1,1,1,1,1,1,1
O15427,0,0,0,0,0,0,1
O15439,0,1,1,0,0,0,0
O15440,0,1,1,0,0,0,0
O15446,0,0,0,0,0,0,1
O15446-2,0,1,0,0,0,0,0
O15460,0,0,1,0,0,0,1
O15498,0,1,1,0,0,0,0
O15504,0,0,0,0,0,0,1
O15511,0,0,0,0,0,0,1
O15511-2,0,0,1,0,0,0,0
O15514,0,0,0,0,0,0,1
O15528,0,1,0,0,0,0,0
O15530,0,1,1,0,0,1,0
O15534,0,0,0,0,0,0,1
O15540,0,0,0,0,0,0,1
O15550,0,0,0,1,1,0,0
O43143,1,1,1,1,1,1,1
O43147,0,0,0,1,1,0,0
O43148,0,0,0,0,0,1,1
O43149,0,0,0,1,1,0,0
O43156,0,0,0,0,0,1,0
O43159,0,0,0,0,0,0,1
O43164,0,0,1,1,1,0,0
O43166,0,0,1,0,0,0,1
O43169,0,0,1,0,0,0,0
O43172,0,0,0,0,0,0,1
O43175,0,1,1,1,1,1,1
O43196,0,0,0,1,1,0,0
O43237,0,0,1,0,0,0,0
O43242,1,1,1,1,1,1,1
O43251,0,0,0,0,0,1,1
O43264,0,1,1,1,1,0,0
O43278,0,0,1,0,0,0,0
O43286,0,0,1,0,0,0,0
O43290,1,1,0,0,0,1,1
O43291,0,1,1,0,0,0,0
O43292,0,0,1,0,0,0,0
O43293,0,0,1,0,0,0,1
O43301,0,0,1,0,0,0,0
O43303,0,0,1,1,1,0,0
O43306,0,0,1,0,0,0,0
O43310-2,0,0,1,0,0,0,0
O43318,0,0,1,1,1,1,1
O43324,0,0,1,1,1,0,1
O43353,0,0,1,1,1,1,1
O43379,0,0,0,1,1,0,0
O43379-4,0,0,1,0,0,0,0
O43390,1,1,0,1,1,0,1
O43390-2,0,0,1,0,0,0,0
O43395,0,0,0,0,0,0,1
O43396,0,0,1,0,0,0,1
O43399,0,0,0,0,1,0,1
O43399-7,0,0,1,0,0,0,0
O43402,0,0,0,0,0,1,1
O43405,0,0,1,0,0,0,0
O43414,0,0,0,0,0,0,1
O43426,0,0,1,0,0,0,0
O43427,0,0,0,0,0,1,1
